insert, 5500, 15122250, 0, 0.031435
merge, 5500, 37025, 68808, 0.000876
quick, 5600, 86320, 39624, 0.000372
insert, 5600, 15677200, 0, 0.033756
merge, 5600, 37824, 70208, 0.001031
quick, 5700, 80626, 41587, 0.000343
insert, 5700, 16242150, 0, 0.033936
merge, 5700, 38645, 71608, 0.000848
quick, 5800, 83173, 38192, 0.000338
insert, 5800, 16817100, 0, 0.034049
merge, 5800, 39399, 73008, 0.000901
quick, 5900, 88562, 37585, 0.000350
insert, 5900, 17402050, 0, 0.036310
merge, 5900, 40251, 74408, 0.001129
quick, 6000, 88137, 45537, 0.000364
insert, 6000, 17997000, 0, 0.038772
merge, 6000, 41119, 75808, 0.000895
quick, 6100, 97747, 41763, 0.000355
insert, 6100, 18601950, 0, 0.038049
merge, 6100, 42041, 77208, 0.000888
quick, 6200, 93362, 45515, 0.000367
insert, 6200, 19216900, 0, 0.039336
merge, 6200, 42772, 78608, 0.001239
quick, 6300, 95410, 42702, 0.000402
insert, 6300, 19841850, 0, 0.040705
merge, 6300, 43505, 80008, 0.000953
quick, 6400, 100349, 49731, 0.000391
insert, 6400, 20476800, 0, 0.043836
merge, 6400, 44310, 81408, 0.001021
quick, 6500, 98645, 49353, 0.000416
insert, 6500, 21121750, 0, 0.044423
merge, 6500, 44873, 82808, 0.001063
quick, 6600, 99572, 46323, 0.000404
insert, 6600, 21776700, 0, 0.046169
merge, 6600, 45663, 84208, 0.000979
quick, 6700, 105533, 48796, 0.000440
insert, 6700, 22441650, 0, 0.047855
merge, 6700, 46358, 85608, 0.001208
quick, 6800, 104448, 47375, 0.000454
insert, 6800, 23116600, 0, 0.048910
merge, 6800, 47139, 87008, 0.001037
quick, 6900, 104799, 51711, 0.000422
insert, 6900, 23801550, 0, 0.050154
merge, 6900, 47938, 88408, 0.001075
quick, 7000, 113822, 51936, 0.000445
insert, 7000, 24496500, 0, 0.053094
merge, 7000, 48820, 89808, 0.001115
quick, 7100, 112017, 56402, 0.000445
insert, 7100, 25201450, 0, 0.053665
merge, 7100, 49533, 91208, 0.001065
quick, 7200, 110868, 48603, 0.000446
insert, 7200, 25916400, 0, 0.054340
merge, 7200, 50333, 92608, 0.001388
quick, 7300, 111403, 50804, 0.000446
insert, 7300, 26641350, 0, 0.056758
merge, 7300, 51229, 94008, 0.001139
quick, 7400, 112025, 53658, 0.000466
insert, 7400, 27376300, 0, 0.058104
merge, 7400, 51820, 95408, 0.001397
quick, 7500, 115952, 54443, 0.000467
insert, 7500, 28121250, 0, 0.059175
merge, 7500, 52611, 96808, 0.001106
quick, 7600, 116359, 52547, 0.000492
insert, 7600, 28876200, 0, 0.060931
merge, 7600, 53468, 98208, 0.001104
quick, 7700, 124576, 58813, 0.000518
insert, 7700, 29641150, 0, 0.062065
merge, 7700, 54222, 99608, 0.001129
quick, 7800, 119892, 52837, 0.000518
insert, 7800, 30416100, 0, 0.063918
merge, 7800, 54922, 101008, 0.001155
quick, 7900, 125483, 60282, 0.000509
insert, 7900, 31201050, 0, 0.066348
merge, 7900, 55787, 102408, 0.001409
quick, 8000, 123065, 58908, 0.000524
insert, 8000, 31996000, 0, 0.066862
merge, 8000, 56358, 103808, 0.001174
quick, 8100, 124846, 56018, 0.000522
insert, 8100, 32800950, 0, 0.069967
merge, 8100, 57352, 105208, 0.001399
quick, 8200, 135234, 61524, 0.000537
insert, 8200, 33615900, 0, 0.071322
merge, 8200, 58225, 106616, 0.001176
quick, 8300, 130601, 56579, 0.000493
insert, 8300, 34440850, 0, 0.071592
merge, 8300, 59083, 108116, 0.001419
quick, 8400, 133555, 57898, 0.000507
insert, 8400, 35275800, 0, 0.073256
merge, 8400, 59660, 109616, 0.001273
quick, 8500, 138016, 59193, 0.000542
insert, 8500, 36120750, 0, 0.074610
merge, 8500, 60513, 111116, 0.001557
quick, 8600, 136370, 58476, 0.000577
insert, 8600, 36975700, 0, 0.078416
merge, 8600, 61283, 112616, 0.001255
quick, 8700, 139932, 59611, 0.000601
insert, 8700, 37840650, 0, 0.077816
merge, 8700, 62188, 114116, 0.001564
quick, 8800, 145269, 65307, 0.000547
insert, 8800, 38715600, 0, 0.078674
merge, 8800, 63053, 115616, 0.001301
quick, 8900, 148769, 70787, 0.000586
insert, 8900, 39600550, 0, 0.081755
merge, 8900, 64057, 117116, 0.001565
quick, 9000, 162140, 76700, 0.000576
insert, 9000, 40495500, 0, 0.081946
merge, 9000, 64702, 118616, 0.001479
quick, 9100, 144743, 69039, 0.000549
insert, 9100, 41400450, 0, 0.085174
merge, 9100, 65980, 120116, 0.001406
quick, 9200, 157703, 66685, 0.000607
insert, 9200, 42315400, 0, 0.089580
merge, 9200, 67061, 121616, 0.001834
quick, 9300, 155217, 74201, 0.000596
insert, 9300, 43240350, 0, 0.094067
merge, 9300, 67646, 123116, 0.001501
quick, 9400, 165785, 74458, 0.000644
insert, 9400, 44175300, 0, 0.095619
merge, 9400, 68344, 124616, 0.001544
quick, 9500, 158343, 70699, 0.000607
insert, 9500, 45120250, 0, 0.098254
merge, 9500, 69171, 126116, 0.001430
quick, 9600, 158593, 67242, 0.000595
insert, 9600, 46075200, 0, 0.098694
merge, 9600, 70104, 127616, 0.001583
quick, 9700, 161870, 75132, 0.000654
insert, 9700, 47040150, 0, 0.100994
merge, 9700, 71149, 129116, 0.001584
quick, 9800, 168642, 76032, 0.000619
insert, 9800, 48015100, 0, 0.103689
merge, 9800, 71795, 130616, 0.001712
quick, 9900, 162120, 70940, 0.000620
insert, 9900, 49000050, 0, 0.105197
merge, 9900, 72677, 132116, 0.001650
quick, 10000, 164989, 75596, 0.000766
insert, 10000, 49995000, 0, 0.105819
merge, 10000, 73699, 133616, 0.001422
